period,org_code,parent_org,org_name,type1_att,type2_att,A&E attendances Other A&E Department,A&E attendances Booked Appointments Type 1,A&E attendances Booked Appointments Type 2,A&E attendances Booked Appointments Other Department,type1_breach,type2_breach,other_breach,Attendances over 4hrs Booked Appointments Type 1,Attendances over 4hrs Booked Appointments Type 2,Attendances over 4hrs Booked Appointments Other Department,Patients who have waited 4-12 hs from DTA to admission,wait_12plus,type1_admissions,Emergency admissions via A&E - Type 2,Emergency admissions via A&E - Other A&E department,other_admissions,breach_rate,admission_rate,severe_wait_ratio,breached
MSitAE-APRIL-2022,RHQ,NHS ENGLAND NORTH EAST AND YORKSHIRE ,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,8629,752,7425,403,2,1073,4269,0,107,209,0,18,1164,31,3287,0,0,2208,0.4947270830918994,0.3809247885038823,0.003592536794530073,1
MSitAE-APRIL-2022,RJ1,NHS ENGLAND LONDON,GUY'S AND ST THOMAS' NHS FOUNDATION TRUST,13016,575,4289,0,0,735,3634,0,9,0,0,0,47,34,3377,0,0,882,0.27919483712354026,0.2594499078057775,0.0026121696373693913,0
MSitAE-APRIL-2022,RRV,NHS ENGLAND LONDON,UNIVERSITY COLLEGE LONDON HOSPITALS NHS FOUNDATION TRUST,11262,0,0,703,0,0,3524,0,0,0,0,0,269,50,1439,0,0,452,0.31291067305984727,0.12777481797194104,0.004439708755105665,1
MSitAE-APRIL-2022,RWF,NHS ENGLAND SOUTH EAST ,MAIDSTONE AND TUNBRIDGE WELLS NHS TRUST,15634,0,2297,0,0,0,3637,0,26,0,0,0,1074,78,4454,0,0,875,0.2326340028143789,0.2848919022642958,0.004989126263272355,0
MSitAE-APRIL-2022,R1H,NHS ENGLAND LONDON,BARTS HEALTH NHS TRUST,22967,797,17918,0,0,0,9123,7,1910,0,0,0,3066,256,5047,0,0,1200,0.3972221012757435,0.21975007619628162,0.011146427482910263,1
MSitAE-APRIL-2022,RAE,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BRADFORD TEACHING HOSPITALS NHS FOUNDATION TRUST,10034,0,996,0,0,0,2980,0,5,0,0,0,969,4,2661,0,9,1303,0.2969902332070959,0.265198325692645,0.00039864460833167234,0
MSitAE-APRIL-2022,RK9,NHS ENGLAND SOUTH WEST ,UNIVERSITY HOSPITALS PLYMOUTH NHS TRUST,7583,109,3651,0,0,121,0,0,0,0,0,0,343,320,2144,0,904,0,0.0,0.2827377027561651,0.04219965712778584,0
MSitAE-APRIL-2022,RMP,NHS ENGLAND NORTH WEST ,TAMESIDE AND GLOSSOP INTEGRATED CARE NHS FOUNDATION TRUST,7843,0,2124,263,0,0,3485,0,0,0,0,0,649,282,1830,0,0,522,0.44434527604233076,0.23332908325895704,0.035955629223511414,1
MSitAE-APRIL-2022,RNS,NHS ENGLAND MIDLANDS ,NORTHAMPTON GENERAL HOSPITAL NHS TRUST,8341,624,1549,222,0,75,3739,1,0,64,0,0,293,541,1640,0,0,1416,0.4482675938136914,0.19661911041841507,0.06486032849778205,1
MSitAE-APRIL-2022,RWW,NHS ENGLAND NORTH WEST ,WARRINGTON AND HALTON TEACHING HOSPITALS NHS FOUNDATION TRUST,6923,0,2659,301,0,162,2914,0,43,83,0,1,951,284,1844,0,0,170,0.4209157879531995,0.26635851509461217,0.041022678029755885,1
MSitAE-APRIL-2022,RCX,NHS ENGLAND EAST OF ENGLAND ,"THE QUEEN ELIZABETH HOSPITAL, KING'S LYNN, NHS FOUNDATION TRUST",6614,0,0,153,0,0,2601,0,0,38,0,0,1232,257,2266,0,0,490,0.393256728152404,0.34260659207741156,0.03885697006350166,1
MSitAE-APRIL-2022,RN3,NHS ENGLAND SOUTH WEST ,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,5030,0,3891,0,0,494,2174,0,77,0,0,1,380,126,1887,0,0,1322,0.43220675944333997,0.3751491053677932,0.025049701789264415,1
MSitAE-APRIL-2022,RNQ,NHS ENGLAND MIDLANDS ,KETTERING GENERAL HOSPITAL NHS FOUNDATION TRUST,8324,0,0,390,0,0,0,0,0,0,0,0,1037,0,1878,0,0,142,0.0,0.22561268620855357,0.0,0
MSitAE-APRIL-2022,R0A,NHS ENGLAND NORTH WEST ,MANCHESTER UNIVERSITY NHS FOUNDATION TRUST,27805,2674,5941,838,59,2765,13552,32,571,328,0,36,3462,127,7855,46,6,1876,0.48739435353353716,0.2825031469160223,0.0045675238266498835,1
MSitAE-APRIL-2022,RJL,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTHERN LINCOLNSHIRE AND GOOLE NHS FOUNDATION TRUST,11904,0,0,0,0,0,4888,0,0,0,0,0,793,725,3646,0,0,510,0.4106182795698925,0.3062836021505376,0.06090389784946237,1
MSitAE-APRIL-2022,RHW,NHS ENGLAND SOUTH EAST ,ROYAL BERKSHIRE NHS FOUNDATION TRUST,10943,1949,0,685,0,0,3537,42,0,0,0,0,423,0,2595,2,0,780,0.32322032349447133,0.23713789637211002,0.0,1
MSitAE-APRIL-2022,RTH,NHS ENGLAND SOUTH EAST ,OXFORD UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,10716,1331,389,1202,0,71,4233,0,0,359,0,1,783,1,3238,101,12,3930,0.39501679731243,0.30216498693542365,9.33184023889511e-05,1
MSitAE-APRIL-2022,RAL,NHS ENGLAND LONDON,ROYAL FREE LONDON NHS FOUNDATION TRUST,20942,0,4041,0,0,0,8447,0,4,0,0,0,1261,390,3125,0,0,478,0.40335211536624965,0.14922165982236654,0.018622863145831343,1
MSitAE-APRIL-2022,RXL,NHS ENGLAND NORTH WEST ,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,7908,0,9519,418,0,253,3750,0,51,133,0,3,625,928,2395,0,0,799,0.47420333839150225,0.3028578654527061,0.11734951947395043,1
MSitAE-APRIL-2022,REM,NHS ENGLAND NORTH WEST ,LIVERPOOL UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,16656,210,7511,513,0,0,8204,0,0,67,0,0,1641,2,4809,0,0,1370,0.4925552353506244,0.2887247838616715,0.00012007684918347742,1
MSitAE-APRIL-2022,RVV,NHS ENGLAND SOUTH EAST ,EAST KENT HOSPITALS UNIVERSITY NHS FOUNDATION TRUST,16762,0,4987,196,0,0,6437,0,125,58,0,0,1272,490,4495,0,419,1315,0.38402338623076004,0.2681660899653979,0.029232788450065626,1
MSitAE-APRIL-2022,RH8,NHS ENGLAND SOUTH WEST ,ROYAL DEVON UNIVERSITY HEALTHCARE NHS FOUNDATION TRUST,11125,0,2736,991,0,56,4593,0,17,310,0,3,968,109,3151,0,0,2043,0.41285393258426967,0.28323595505617977,0.009797752808988765,1
MSitAE-APRIL-2022,RXF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,MID YORKSHIRE HOSPITALS NHS TRUST,16458,0,5637,120,0,37,0,0,0,0,0,0,1463,31,3695,0,210,802,0.0,0.22451087616964394,0.0018835824523028314,0
MSitAE-APRIL-2022,RX1,NHS ENGLAND MIDLANDS ,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUST,14578,1467,231,507,0,0,0,0,0,0,0,0,999,578,3718,0,0,3182,0.0,0.2550418438743312,0.039648785841679246,0
MSitAE-APRIL-2022,RM3,NHS ENGLAND NORTH WEST ,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,23766,0,5333,0,0,0,11372,0,194,0,0,0,1985,734,6081,0,264,1277,0.4784986956155853,0.2558697298661954,0.03088445678700665,1
MSitAE-APRIL-2022,RXQ,NHS ENGLAND SOUTH EAST ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,8625,1096,2552,0,0,0,3917,0,40,0,0,0,597,0,3466,719,0,773,0.45414492753623187,0.4018550724637681,0.0,1
MSitAE-APRIL-2022,RBD,NHS ENGLAND SOUTH WEST ,DORSET COUNTY HOSPITAL NHS FOUNDATION TRUST,3979,0,0,210,0,2172,1855,0,0,47,0,5,49,3,1335,0,0,336,0.4661975370696155,0.3355114350339281,0.0007539582809751194,1
Total,Total,Total,Total,1279545,37777,640069,32835,121,38449,466330,1233,29040,6306,0,839,107425,24179,352982,1156,5793,119848,0.3644498630372515,0.2758652489752217,0.01889656088687776,1
MSitAE-APRIL-2023,RWY,NHS ENGLAND NORTH EAST AND YORKSHIRE ,CALDERDALE AND HUDDERSFIELD NHS FOUNDATION TRUST,13762,0,0,0,0,0,3865,0,0,0,0,0,822,2,2759,0,0,802,0.2808458072954512,0.2004795814561837,0.00014532771399505885,0
MSitAE-APRIL-2023,RXL,NHS ENGLAND NORTH WEST ,BLACKPOOL TEACHING HOSPITALS NHS FOUNDATION TRUST,8237,0,10625,234,0,246,3562,0,52,39,0,0,676,698,2457,0,0,1397,0.4324389947796528,0.2982882117275707,0.0847395896564283,1
MSitAE-APRIL-2023,RA9,NHS ENGLAND SOUTH WEST ,TORBAY AND SOUTH DEVON NHS FOUNDATION TRUST,5853,0,3002,123,0,0,3305,0,64,63,0,0,620,82,1756,0,0,919,0.5646676917819922,0.3000170852554246,0.01400990944814625,1
MSitAE-APRIL-2023,RAX,NHS ENGLAND LONDON,KINGSTON HOSPITAL NHS FOUNDATION TRUST,6486,0,2651,0,0,0,3040,0,146,0,0,0,220,415,1725,0,115,505,0.4687018193031144,0.26595744680851063,0.06398396546407648,1
MSitAE-APRIL-2023,RLQ,NHS ENGLAND MIDLANDS ,WYE VALLEY NHS TRUST,5321,0,0,157,0,0,2165,0,0,46,0,0,116,107,1529,0,0,528,0.40687840631460254,0.2873520015034768,0.020109002067280585,1
MSitAE-APRIL-2023,RVW,NHS ENGLAND NORTH EAST AND YORKSHIRE ,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,4232,0,10357,0,0,0,0,0,0,0,0,0,190,3,1620,0,409,1786,0.0,0.3827977315689981,0.0007088846880907373,0
MSitAE-APRIL-2023,RXQ,NHS ENGLAND SOUTH EAST ,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,8661,1145,3071,0,0,0,3564,0,144,0,0,0,299,286,3356,739,0,858,0.4114998268098372,0.3874841242350768,0.033021591040295575,1
MSitAE-APRIL-2023,RF4,NHS ENGLAND LONDON,"BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST",10876,2144,13038,0,0,0,6568,420,3378,0,0,0,716,722,4526,0,0,377,0.6038984920926811,0.4161456417800662,0.0663847002574476,1
MSitAE-APRIL-2023,RFF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,BARNSLEY HOSPITAL NHS FOUNDATION TRUST,7488,0,0,416,0,0,1958,0,0,0,0,0,155,1,2383,0,0,470,0.26148504273504275,0.31824252136752135,0.00013354700854700856,0
MSitAE-APRIL-2023,RGR,NHS ENGLAND EAST OF ENGLAND ,WEST SUFFOLK NHS FOUNDATION TRUST,6188,0,647,57,0,0,0,0,0,0,0,0,465,46,1909,0,0,576,0.0,0.3085003232062056,0.0074337427278603745,0
MSitAE-APRIL-2023,RJN,NHS ENGLAND NORTH WEST ,EAST CHESHIRE NHS TRUST,3882,0,0,44,0,12,1669,0,0,0,0,0,199,335,769,0,0,114,0.4299330242143225,0.19809376609994847,0.08629572385368367,1
MSitAE-APRIL-2023,RWE,NHS ENGLAND MIDLANDS ,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,18537,1748,0,0,0,0,8296,120,0,0,0,0,1325,960,4798,3,0,3130,0.44753735771699843,0.2588336839833846,0.05178831526136916,1
MSitAE-APRIL-2023,RCD,NHS ENGLAND NORTH EAST AND YORKSHIRE ,HARROGATE AND DISTRICT NHS FOUNDATION TRUST,4412,0,763,143,0,43,863,0,1,16,0,0,89,4,1168,0,0,382,0.1956029011786038,0.26473254759746145,0.0009066183136899365,0
MSitAE-APRIL-2023,REF,NHS ENGLAND SOUTH WEST ,ROYAL CORNWALL HOSPITALS NHS TRUST,5869,0,10527,0,0,0,3529,0,297,0,0,0,486,597,2110,0,25,1046,0.6012949395126939,0.35951610155051966,0.10172090645765888,1
MSitAE-APRIL-2023,RHU,NHS ENGLAND SOUTH EAST ,PORTSMOUTH HOSPITALS UNIVERSITY NATIONAL HEALTH SERVICE TRUST,8810,687,2532,1180,0,808,0,0,0,0,0,0,1520,0,3479,0,0,2012,0.0,0.3948921679909194,0.0,0
MSitAE-APRIL-2023,RJR,NHS ENGLAND NORTH WEST ,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,6437,0,207,0,0,0,3012,0,2,0,0,0,339,646,1542,0,0,898,0.4679198384340531,0.23955258660866863,0.10035730930557714,1
MSitAE-APRIL-2023,RL4,NHS ENGLAND MIDLANDS ,THE ROYAL WOLVERHAMPTON NHS TRUST,12029,0,6652,1,0,546,3626,0,229,0,0,0,536,16,5721,0,0,771,0.30143819103832403,0.4756006318064677,0.0013301188793748441,1
MSitAE-APRIL-2023,RXF,NHS ENGLAND NORTH EAST AND YORKSHIRE ,MID YORKSHIRE HOSPITALS NHS TRUST,14817,0,5746,120,0,51,0,0,0,0,0,0,968,1,3750,0,177,946,0.0,0.2530876695687386,6.74900452183303e-05,0
MSitAE-APRIL-2023,RGP,NHS ENGLAND EAST OF ENGLAND ,JAMES PAGET UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,6236,0,1462,98,0,0,2095,0,0,23,0,0,443,192,1467,0,0,430,0.335952533675433,0.23524695317511224,0.030788967286722257,1
